Country;TotalCases;TotalDeaths;TotalRecovered;Population;Continent;infect_percentage;death_percentage
USA;111820082;1219487;109814428;334805269;North America;33.4;1.09
India;45035393;533570;0;1406631776;Asia;3.2;1.18
France;40138560;167642;39970918;65584518;Europe;61.2;0.42
Germany;38828995;183027;38240600;83883596;Europe;46.29;0.47
Brazil;38743918;711380;36249161;215353593;South America;17.99;1.84
S. Korea;34571873;35934;34535939;51329899;Asia;67.35;0.1
Japan;33803572;74694;0;125584838;Asia;26.92;0.22
Italy;26723249;196487;26361218;60262770;Europe;44.34;0.74
UK;24910387;232112;24678275;68497907;Europe;36.37;0.93
Russia;24124215;402756;23545818;145805947;Europe;16.55;1.67
Turkey;17232066;102174;0;85561976;Asia;20.14;0.59
Spain;13914811;121760;13762417;46719142;Europe;29.78;0.88
Australia;11853144;24414;11820014;26068792;Australia/Oceania;45.47;0.21
Vietnam;11625195;43206;10640971;98953541;Asia;11.75;0.37
Taiwan;10241523;19005;10222518;23888595;Asia;42.87;0.19
Argentina;10128845;130841;9997258;46010234;South America;22.01;1.29
Netherlands;8635786;22992;8612599;17211447;Europe;50.17;0.27
Mexico;7702809;334958;6899865;131562772;North America;5.85;4.35
Iran;7627186;146811;0;86022837;Asia;8.87;1.92
Indonesia;6829221;162063;6647104;279134505;Asia;2.45;2.37
Poland;6661991;120598;0;37739785;Europe;17.65;1.81
Colombia;6400173;143200;6212152;51512762;South America;12.42;2.24
Greece;6101379;37869;0;10316637;Europe;59.14;0.62
Austria;6081287;22542;6054934;9066710;Europe;67.07;0.37
Portugal;5643062;28126;5614809;10140570;Europe;55.65;0.5
Ukraine;5557995;112418;5445577;43192122;Europe;12.87;2.02
Chile;5384853;64497;5252450;19250195;South America;27.97;1.2
Malaysia;5278406;37348;5233268;33181072;Asia;15.91;0.71
Canada;4946090;59034;4881312;38388419;North America;12.88;1.19
Belgium;4861695;34376;4826798;11668278;Europe;41.67;0.71
Israel;4841772;12707;4798473;9326000;Asia;51.92;0.26
DPRK;4772813;74;4772739;25990679;Asia;18.36;0.0
Thailand;4770149;34586;4692636;70078203;Asia;6.81;0.73
Czechia;4759041;43517;4715206;10736784;Europe;44.32;0.91
Peru;4572667;222161;4350506;33684208;South America;13.58;4.86
Switzerland;4453053;14452;4438309;8773637;Europe;50.75;0.32
Philippines;4140383;66864;4067381;112508994;Asia;3.68;1.61
South Africa;4076463;102595;3912506;60756135;Africa;6.71;2.52
Romania;3529735;68929;3460149;19031335;Europe;18.55;1.95
Denmark;3183756;8814;3174942;5834950;Europe;54.56;0.28
Singapore;3006155;2024;3004131;5943546;Asia;50.58;0.07
Hong Kong;2937609;14924;2916005;7604299;Asia;38.63;0.51
Sweden;2754129;27407;2726492;10218971;Europe;26.95;1.0
New Zealand;2621111;5697;2613791;4898203;Australia/Oceania;53.51;0.22
Serbia;2615054;18057;2596608;8653016;Europe;30.22;0.69
Iraq;2465545;25375;2439497;42164965;Asia;5.85;1.03
Hungary;2230232;49048;2152155;9606259;Europe;23.22;2.2
Bangladesh;2049377;29493;0;167885689;Asia;1.22;1.44
Slovakia;1877605;21224;1856381;5460193;Europe;34.39;1.13
Georgia;1861665;17132;0;3968738;Asia;46.91;0.92
Jordan;1746997;14122;1731007;10300869;Asia;16.96;0.81
Ireland;1734582;9491;1724921;5020199;Europe;34.55;0.55
Pakistan;1581936;30664;1538689;229488994;Asia;0.69;1.94
Finland;1516117;11958;1503989;5554960;Europe;27.29;0.79
Norway;1509732;6638;1503094;5511370;Europe;27.39;0.44
Kazakhstan;1411831;13848;1383020;19205043;Asia;7.35;0.98
Lithuania;1397806;9897;1387478;2661708;Europe;52.52;0.71
Slovenia;1356546;7100;1349424;2078034;Europe;65.28;0.52
Bulgaria;1339851;38748;1292944;6844597;Europe;19.58;2.89
Croatia;1309728;18687;1258432;4059286;Europe;32.26;1.43
Guatemala;1291293;20289;1269891;18584039;North America;6.95;1.57
Morocco;1278992;16303;0;37772756;Africa;3.39;1.27
Lebanon;1243838;10952;1087587;6684849;Asia;18.61;0.88
Costa Rica;1238883;9428;0;5182354;North America;23.91;0.76
Bolivia;1212131;22407;1177145;11992656;South America;10.11;1.85
Tunisia;1153361;29423;0;12046656;Africa;9.57;2.55
Cuba;1115251;8530;1106660;11305652;North America;9.86;0.76
Ecuador;1070188;36043;1034145;18113361;South America;5.91;3.37
UAE;1067030;2349;0;10081785;Asia;10.58;0.22
Panama;1059893;8727;1051102;4446964;North America;23.83;0.82
Uruguay;1041111;7664;1030944;3496016;South America;29.78;0.74
Mongolia;1011496;2284;1009212;3378078;Asia;29.94;0.23
Nepal;1003450;12031;991322;30225582;Asia;3.32;1.2
Belarus;994037;7118;985592;9432800;Europe;10.54;0.72
Latvia;982505;6715;971406;1848837;Europe;53.14;0.68
Saudi Arabia;841469;9646;0;35844909;Asia;2.35;1.15
Paraguay;837602;20155;0;7305843;South America;11.46;2.41
Azerbaijan;835234;10400;824089;10300205;Asia;8.11;1.25
Bahrain;729549;1574;727915;1783983;Asia;40.89;0.22
Cyprus;681110;1365;679745;1223387;Asia;55.67;0.2
Dominican Republic;675890;4384;671316;11056370;North America;6.11;0.65
Sri Lanka;672754;16897;655852;21575842;Asia;3.12;2.51
Kuwait;667158;2570;0;4380326;Asia;15.23;0.39
Myanmar;641873;19495;620159;55227143;Asia;1.16;3.04
Moldova;635145;12218;0;4013171;Europe;15.83;1.92
Estonia;628070;3001;0;1321910;Europe;47.51;0.48
Palestine;621008;5404;615445;5345541;Asia;11.62;0.87
Venezuela;552695;5856;546537;29266991;South America;1.89;1.06
Egypt;516023;24613;442182;106156692;Africa;0.49;4.77
Qatar;514524;690;513687;2979915;Asia;17.27;0.13
Libya;507274;6437;500835;7040745;Africa;7.2;1.27
Ethiopia;501157;7574;488171;120812698;Africa;0.41;1.51
Réunion;494595;921;0;908061;Africa;54.47;0.19
Honduras;474590;11165;0;10221247;North America;4.64;2.35
Armenia;451831;8777;435162;2971966;Asia;15.2;1.94
Bosnia and Herzegovina;403615;16388;379084;3249317;Europe;12.42;4.06
Oman;399449;4628;0;5323993;Asia;7.5;1.16
Luxembourg;391232;1232;0;642371;Europe;60.9;0.31
North Macedonia;350567;9976;337068;2081304;Europe;16.84;2.85
Zambia;349304;4069;341316;19470234;Africa;1.79;1.16
Kenya;344130;5689;337309;56215221;Africa;0.61;1.65
Brunei;343719;225;243601;445431;Asia;77.17;0.07
Albania;334863;3605;330233;2866374;Europe;11.68;1.08
Botswana;330638;2801;327049;2441162;Africa;13.54;0.85
Montenegro;296542;2846;291794;627950;Europe;47.22;0.96
Algeria;272010;6881;183061;45350148;Africa;0.6;2.53
Nigeria;267188;3155;259953;216746934;Africa;0.12;1.18
Zimbabwe;266359;5740;258888;15331428;Africa;1.74;2.15
Uzbekistan;253662;1637;241486;34382084;Asia;0.74;0.65
Afghanistan;234174;7996;211080;40754388;Asia;0.57;3.41
Mozambique;233731;2250;228805;33089461;Africa;0.71;0.96
Martinique;230354;1102;0;374087;North America;61.58;0.48
Laos;218970;758;0;7481023;Asia;2.93;0.35
Iceland;209906;229;0;345393;Europe;60.77;0.11
Kyrgyzstan;206897;2991;196406;6728271;Asia;3.08;1.45
Guadeloupe;203235;1021;0;399794;North America;50.83;0.5
El Salvador;201855;4230;179410;6550389;North America;3.08;2.1
Trinidad and Tobago;191496;4390;187078;1406585;North America;13.61;2.29
Maldives;186694;316;163687;540985;Asia;34.51;0.17
Namibia;172389;4106;167099;2633874;Africa;6.55;2.38
Uganda;172149;3632;100431;48432863;Africa;0.36;2.11
Ghana;171889;1462;170425;32395450;Africa;0.53;0.85
Jamaica;156869;3756;0;2985094;North America;5.26;2.39
Cambodia;139103;3056;136044;17168639;Asia;0.81;2.2
Rwanda;133518;1468;132039;13600464;Africa;0.98;1.1
Cameroon;125379;1974;123280;27911548;Africa;0.45;1.57
Malta;121420;885;120149;444033;Europe;27.34;0.73
Barbados;110578;648;108647;288023;North America;38.39;0.59
Angola;107327;1937;103419;35027343;Africa;0.31;1.8
Channel Islands;101717;228;101321;176463;Europe;57.64;0.22
DRC;99338;1468;84489;95240792;Africa;0.1;1.48
French Guiana;98041;420;11254;314169;South America;31.21;0.43
Malawi;89535;2686;0;20180839;Africa;0.44;3.0
Senegal;89053;1971;87024;17653671;Africa;0.5;2.21
Ivory Coast;88384;835;87497;27742298;Africa;0.32;0.94
Suriname;82588;1408;0;596831;South America;13.84;1.7
New Caledonia;80064;314;0;290915;Australia/Oceania;27.52;0.39
French Polynesia;79254;650;0;284164;Australia/Oceania;27.89;0.82
Eswatini;75191;1427;73116;1184817;Africa;6.35;1.9
Guyana;74137;1300;72013;794045;South America;9.34;1.75
Belize;71409;688;0;412190;North America;17.32;0.96
Fiji;69117;885;67226;909466;Australia/Oceania;7.6;1.28
Madagascar;68486;1426;66862;29178077;Africa;0.23;2.08
Cabo Verde;64477;417;63755;567678;Africa;11.36;0.65
Sudan;63993;5046;58947;45992020;Africa;0.14;7.89
Mauritania;63848;997;62471;4901981;Africa;1.3;1.56
Bhutan;62697;21;61564;787941;Asia;7.96;0.03
Syria;57743;3165;54578;19364809;Asia;0.3;5.48
Burundi;54721;38;53569;12624840;Africa;0.43;0.07
Seychelles;51220;172;51048;99426;Africa;51.52;0.34
Gabon;49051;307;48674;2331533;Africa;2.1;0.63
Andorra;48015;165;0;77463;Europe;61.98;0.34
Papua New Guinea;46864;670;46168;9292169;Australia/Oceania;0.5;1.43
Curaçao;45986;295;44720;165529;North America;27.78;0.64
Aruba;44224;292;42438;107609;North America;41.1;0.66
Tanzania;43223;846;0;63298550;Africa;0.07;1.96
Mauritius;43025;1051;41278;1274727;Africa;3.38;2.44
Mayotte;42027;188;0;286259;Africa;14.68;0.45
Togo;39572;290;39281;8680837;Africa;0.46;0.73
Guinea;38572;468;37757;13865691;Africa;0.28;1.21
Bahamas;38084;844;36366;400516;North America;9.51;2.22
Isle of Man;38008;116;0;85732;Europe;44.33;0.31
Lesotho;36138;723;25980;2175699;Africa;1.66;2.0
Haiti;34667;860;33734;11680283;North America;0.3;2.48
Faeroe Islands;34658;28;0;49233;Europe;70.4;0.08
